,Customer_Name,Similar_Name
0, interceramic,interceramic
1, oao bank petrocommerz,oao bank petrocommerz
2,???(??)??????faurecia (china),"???(??)??????faurecia (china) holding co., ltd."
3,3e company,insurance services office - 3e company
4,3f inc,immobiliere 3f
5,3m,3m company
6,a p clayton,a p clayton
7,a-katsastus,a-katsastus oy
8,a-katsastus,a-katsastus oy - helsinki
9,a-katsastus oy,a-katsastus oy - helsinki
10,aabo bv,aabo trading company bv
11,aaron & partners,aaron and partners
12,abbey international,the abbey company
13,abbott india ltd,abbott india ltd
14,abp ireland,abp systems
15,acc ict,acc ict location nieuwegein
16,access business,access business technologies llc
17,access business,access health services
18,access northeast,northeast bank
19,achmea,syntrus achmea vastgoed b.v.
20,acl,acl laboratories
21,acm,acm parts
22,acm,acm vastgoed management
23,aconex (uk) limited,aconex (uk) limited
24,acora,acora msp
25,adams community,adams county
26,adams community,adams county it
27,adams community,adams state university
28,adams county,adams county it
29,adams county,adams county school district #14
30,adams county,adams state university
31,adecco belgium,adecco uk ltd
32,adelante,adelante zorggroep
33,adrea,adrea csp
34,advanced management,advanced medical management
35,advanstar communications,advanstar communications inc
36,adventist health,sydney adventist hospital
37,aecom,aecom technical services inc.
38,aecom,aecom technology corporation
39,aelia,lagardere travel retail – aelia
40,aerotech,aerotech czech s.r.o.
41,aerotech,aerotech peissenberg gmbh
42,aes corporation,aes europe services
43,aes corporation,the aes corporation
44,agence nationale,agence nationale des ports
45,aig (chartis),aig (chartis) insurance
46,aim bank,aim infrarot-module gmbh
47,aim bank,aim specialty health
48,airasia berhad,airasia berhad
49,akka services,akka technologies(services)
50,akron general,the university of akron
51,alexander dennis,alexander dennis ltd
52,allan gray,allan gray ltd
53,allen & overy,allen & overy llp
54,alliance medical,the alliance
55,alliant energy,alliant health solutions
56,alliant energy,alliant insurance
57,alliant insurance,"alliant insurance services, inc."
58,allianz global investors,allianz global investors gmbh
59,allied barton,allied barton security services
60,allied healthcare,allied healthcare federal credit union
61,allied healthcare,allied solutions
62,allied healthcare,allied systems company
63,allied solutions,allied systems company
64,alma,alma consulting group
65,almarai,almarai company
66,almere college,gemeente almere
67,almere college,zorggroep almere
68,alno ag,"alno ag ""mdm"""
69,alpha bank,alpha bank bulgaria
70,alpha bank,alpha credit
71,alpha bank,alpha simplex
72,alpine investors,investors group
73,alps fcu,ibm alps
74,alston & bird,alston & bird llp
75,alten france,alten technology gmbh
76,altran,altran sverige
77,amalgamated bank,amalgamated bank of chicago
78,amano corporation,amano software engineering
79,amber computing,amber valley
80,amdocs inc,amdocs inc a/p
81,amdocs inc,amdocs israel limited
82,amdocs inc,amdocs software systems ltd
83,ameren,ameren corporation
84,american bank,american bank & trust
85,american bank,american bank - pa
86,american bank,american city bank
87,american bank,american college
88,american bank,american national bank
89,american bank,american patriot bank
90,american bank,american university
91,american bank,first american bank
92,american college,american college of cardiology
93,american express,american express arizona
94,american express,american express publishing
95,american express,financial express
96,american fidelity,american fidelity assurance
97,american fidelity,american fidelity life insuran
98,american fidelity,fidelity communications
99,american fidelity,fidelity information services
100,american university,american university of kuwait
101,amerigas,amerigas propane
102,amicus horizon,horizon bank
103,amundi,amundi hong kong ltd.
104,amundi,amundi it services
105,amundi,amundi smith breeden llc
106,aon corporation,aon limited
107,apple inc,city of apple valley
108,applied materials,county materials
109,applied systems,bae systems applied intelligence
110,apria rsa,apria rsa dsi pilotage et gestion
111,aptos - liberty,aptos liberty
112,aptos halfords,halfords
113,aptos liberty,aptos m & co
114,aramco services,aramco services company
115,arc international,northeast arc
116,arcadia group,arcadia university
117,ariel re,ariel re bda limited
118,arlington isd,city of arlington
119,arsenal football club,arsenal football club plc
120,artisan partners,artisan partners lp
121,aryzta australia,aryzta australia pty ltd
122,as watson,watson furniture
123,ascend,ascend learning
124,ascend,brooklyn ascend charter school
125,asr corporation,asr health benefits corporation
126,assystem france,assystem gmbh
127,asta,asta management services ltd
128,astoria bank,astoria federal savings
129,atb technologies,atb technologies llc
130,atea a/s,atea a/s - dnk
131,athene,athene annuity & life co
132,atlanticare,atlanticare health system
133,atlas reo services,atlas reo services inc
134,atos infogerance,atos orgin infogerance
135,ats automation,ats automation tooling systems
136,auckland council,auckland international airport
137,austin energy,city of austin
138,auto club group,the auto club group
139,auto trader,auto trader limited
140,avera ecare,avera health
141,avesis,guardian life insurance company of america - avesis
142,aviall,aviall services inc
143,avis budget emea,avis budget emea ltd
144,awe network,awe plc
145,axians,axians it ab (qbranch)
146,axians,axians it ab (qbranch)
147,axians,axians it solutions gmbh
148,axiom bank,axiom housing association
149,axon,axon cable
150,azienda ospedaliera,azienda ospedaliera di padova
151,azienda ospedaliera,azienda ospedaliera ospedali
152,babcock communications,babcock international
153,bae systems,bae systems (uk)
154,bae systems,bae systems - saudi arabia
155,bae systems,bae systems applied intelligence
156,bae systems,bae systems australia
157,bae systems,bae systems detica
158,bae systems,bae systems marine ltd
159,bae systems,bae systems plc - eits
160,bae systems,bae systems plc – eits
161,bae systems,bae systems saudi arabia
162,baiduri bank,baiduri bank
163,baird holm,baird holm law firm
164,banco itau,banco itau - chile
165,banco itau,itau banco
166,banco santander,banco santander (suisse) sa
167,banco santander,santander international
168,bancorp,glacier bancorp inc.
169,bancorp,people's utah bancorp
170,bancorp,peoples bancorp of nc
171,bancorp,the bancorp inc.
172,bancorp,u.s. bancorp
173,bancorp,united community bancorp
174,bank forward,forward 3d ltd
175,bank forward,forward financing
176,bank independent,independent bank
177,bank of america,bank of america
178,bank of america,bank of america
179,bank of america,bank of america
180,bank of chengdu,chengdu bank
181,bank of panzhihua,bank of panzhihua bank
182,bank of tokyo,bank of tokyo
183,bank of tokyo-mitsubishi,bank of tokyo-mitsubishi
184,bank of tokyo-mitsubishi,bank of tokyo-mitsubishi ltd
185,bank of tokyo-mitsubishi,bank of tokyo-mitsubishi ltd
186,bankart,bankart d.o.o.
187,bankers trust,first bankers trust company
188,bankunited,bankunited financial
189,banner bank,banner gmbh
190,banner bank,banner health
191,banner gmbh,banner health
192,baptist health,baptist health (ar)
193,baptist health,baptist health south fl
194,baptist health,baptist health system
195,baptist health,baptist health systems inc
196,baptist health,baptist medical center
197,baptist health,california baptist university
198,baptist health,mississippi baptist health system
199,barclaycard,barclaycard - germany
200,barclaycard,barclaycard barclays bank plc
201,basel lighthouse,lighthouse partners l l c
202,bauer ag,bauer corporate services
203,bauer ag,könig & bauer ag
