ID,NAME,PRODUCTCODE,DESCRIPTION,QUANTITYSCHEDULETYPE,QUANTITYINSTALLMENTPERIOD,NUMBEROFQUANTITYINSTALLMENTS,REVENUESCHEDULETYPE,REVENUEINSTALLMENTPERIOD,NUMBEROFREVENUEINSTALLMENTS,ISACTIVE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,FAMILY,CURRENCYISOCODE,RECORDTYPEID,EXTERNALDATASOURCEID,EXTERNALID,DISPLAYURL,QUANTITYUNITOFMEASURE,ISDELETED,LASTVIEWEDDATE,LASTREFERENCEDDATE,CATEGORY__C,DISPLAY_NAME__C,STARTING_PRICE__C,ENTITLEMENT_TYPE__C,MSRP__C,PP_BUTTON_ID__C,SCALE__C,DATES_ARE_REQUIRED__C,PRODUCT_GROUP__C,REVENUE_TYPE__C,SALESLOGIX_ID__C,SERVICE_TYPE__C,STATUS__C,SUPPORT_POINTS__C,TOUCHPAPER_IMPORT__C,SAPPRODUCTNUMBER__C,SAP_MATERIAL_DESCRIPTION__C,SAP_PRODUCT_HIERARCHY__C,ASSOCIATED_LICENSE__C,TYPE__C,UNIT__C,DATESREQUIRED__C,DATALOADER_EXTID__C,PRODUCT_ID__C,VERSION_REQUIRED__C,SAP_TYPE__C,SUPPORTPOINTSTYPE__C,BIGMACHINES__PART_NUMBER__C,WAVELINK_PRODUCT__C,BOARD_FAMILY__C,STATUS_ON_PRICE_BOOKS__C,IS_THIRD_PARTY__C,PRODUCT_DELIVERED_BY__C,RENEWABLE__C,SAP_PRODUCT_HIERARCHY_NUMBER__C,NEEDS_ENTITLEMENT__C,CHILD_2__C,CHILD_3__C,COMPONENTS__C,DELIVERY_TARGET__C,FED_GOV__C,HISTORICAL_ID__C,IS_KIT__C,MAINTENANCE_TYPE__C,MONTHS__C,PARENT_KIT__C,PREFERREDSKU__C,PRIORITY_SKU__C,PRODUCT_LINE__C,PRODUCT_TERM__C,QUANTITY_TYPE__C,RENEWALSKUTYPE__C,SHAVLIK_OLD_PRODUCT_CLASS__C,VMWARE_SKU__C,IS_THIRD_PARTY_PRODUCT__C,IS_CLOUD__C,SERVICE_DAYS_PER_UNIT__C,EXEMPT_FROM_PRORATING__C,PRODUCT_TERM_AS_NUMBER__C,RENEWAL_ONLY_SKU__C,SAP_DIVISION__C,TRAINING_SEATS__C,EDUCATION_DISCOUNT_ELIGIBLE__C,EXCLUDE_FROM_QUOTE_TOOL__C,GOVERNMENT_DISCOUNT_ELIGIBLE__C,PRICE_FLOOR__C,RESELLER_DISCOUNT_ELIGIBLE__C,REVENUE_APPROVAL_REQUIRED__C,TUMSUM__C,VERSION__C,FAVORITES_GEOGRAPHY__C,PRICE_INCLUDES_TRAVEL__C,THIRD_PARTY_ENTITLEMENT_OVERRIDE__C,SEARCH_TERMS__C,PRODUCT_NAME_FOR_OUTPUT__C,PRODUCT_LINE_BUSINESS_PLANNING__C,PLATFORM__C,HISTORICAL_ORIGIN__C,CASE_SAFE_ID__C,NO_PRICEBOOKENTRY__C,ECCN__C,BOARD_FAMILY_TEXT_FIELD__C,PRICEBASEDSP__C,SUPPORT_POINTS_2__C,PRORATE_FIRST_YEAR_BOOKING__C,RENEWAL_VOLUME_ONLY_SKU__C,ASSOCIATED_LICENSE_NOT_REQUIRED__C,RENEWALS_APPROVAL_REQUIRED__C,POWERED_BY__C,AVAILABLE_FOR_EVAL__C,EVAL_QUANTITY__C,EVAL_DAYS__C,HISTORIC_RES_FAMILY__C,MINIMUM_QUANTITY__C,NEW_QUOTES_PROHIBITED__C,COUNTRY_DISCOUNT_ELIGIBLE__C,MAX_SPECIAL_DISCOUNT__C,SPECIAL_DISCOUNT_ELIGIBLE__C,UNIFIED_IT_SEGMENT__C
01t30000002FYSxAAO,ECS17UWRSCS,ECS17UWRSCS-xxx,1U single-rail 17" LCD console w/ US USB trackball keyboard -US Only,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:21:03.000,005a0000007zoLxAAI,2017-05-19 23:21:03.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,NTC/Commodity,,,,Active,,,,,,,,,False,01t20000000u0RTAAY,01t30000002FYSxAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSxAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYSyAAO,AVRIQ-VMC-G01,AVRIQ-VMC-G01,USB2 server interface module supporting Virtual Media and Smartcard (CAC) - 20" cabling,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:36.000,005a0000007zoLxAAI,2017-05-19 23:20:36.000,Other Lic/Mnt/Sub/OEM,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,NTC/Commodity,,,,Active,,,,,,,,,False,01t20000000u0RUAAY,01t30000002FYSyAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,Other,,,01t30000002FYSyAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t13000005tFBKAA2,Unified Messaging Bundle Maint HEAT,UMGMT0011,Unified Messaging Bundle Maint,,,,,,,0,2017-03-27 22:56:33.000,005300000041tTTAAY,2017-07-03 23:57:14.000,005a0000007zoLxAAI,2017-07-03 23:57:14.000,Service Management,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,,,,,Active,,,UMGMT0011,,,,Maintenance,,True,,01t13000005tFBKAA2,0,,,,0,HT ITSM,,FALSE,,1,,0,,,,,0,01td0000001UxxTAAS,0,,,,,0,,12 Months,,,,,0,0,,0,12,0,,,1,0,1,,1,0,0,,,0,0,,,ITSM,,HEAT,01t13000005tFBKAA2,1,,HT ITSM,0,0,0,0,0,0,HEAT,0,,,,,,,,,
01t13000005tFBLAA2,Auto Attendant Port Maint HEAT,IPCMT0125,Auto Attendant Port Maint,,,,,,,0,2017-03-27 22:56:33.000,005300000041tTTAAY,2017-07-03 23:57:14.000,005a0000007zoLxAAI,2017-07-03 23:57:14.000,Service Management,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,,,,,Active,,,IPCMT0125,,,,Maintenance,,True,,01t13000005tFBLAA2,0,,,,0,HT ITSM,,FALSE,,1,,0,,,,,0,01td0000001UxtXAAS,0,,,,,0,,12 Months,,,,,0,0,,0,12,0,,,1,0,1,,1,0,0,,,0,0,,,ITSM,,HEAT,01t13000005tFBLAA2,1,,HT ITSM,0,0,0,0,0,0,HEAT,0,,,,,,,,,
01t13000005tFBMAA2,"Ivanti FrontRange Server Mngmnt Admin Suite Maintenance - Powered by HEAT, Volume/Renewal Only",CENCF0096,ONLY for Volume or Renewal,,,,,,,1,2017-03-27 22:56:33.000,005300000041tTTAAY,2018-03-03 21:19:36.000,005a000000AODbIAAX,2018-03-03 21:19:36.000,DSM,USD,01230000000ZUr8AAG,,,,,0,,,Heat,,,,,,,1,,,,Maintenance,Active,,,CENCF0096,FrontRange Server Mngmnt Admin Suite MNT,,CENCF0095,Maintenance,,True,,01t13000005tFBMAA2,0,Maintenance,,,0,HT UEM,,FALSE,Third Party,1,170104025030000200,1,,,,,0,01td0000001UxtnAAC,0,,,,,0,,12 Months,,,,,0,0,,0,12,0,80,,1,0,1,,1,0,0,,,0,0,,,UEM,,HEAT,01t13000005tFBMAA2,0,,HT UEM,14.63,14.63,0,1,0,0,HEAT,0,,,,,0,1,,1,
01t13000005tFBNAA2,Service Catalog Hot Stand By,SCGCL0002,Service Catalog Hot Stand By,,,,,,,0,2017-03-27 22:56:33.000,005300000041tTTAAY,2017-07-03 23:57:14.000,005a0000007zoLxAAI,2017-07-03 23:57:14.000,Service Management,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,,,,,Active,,,SCGCL0002,,,,License,,False,,01t13000005tFBNAA2,0,,,,0,HT ITSM,,FALSE,,0,,0,,,,,0,01td0000001UxtrAAC,0,,,,,0,,12 Months,,,,,0,0,,0,12,0,,,1,0,1,,1,0,0,,,0,0,,,ITSM,,HEAT,01t13000005tFBNAA2,1,,HT ITSM,0,0,0,0,0,0,,0,,,,,,,,,
01t13000005tFBOAA2,"Ivanti Call Center Agent Maintenance - Powered by HEAT, Renewal Only",IPCMT0117,ONLY for Renewals,,,,,,,1,2017-03-27 22:56:33.000,005300000041tTTAAY,2018-03-03 21:19:41.000,005a000000AODbIAAX,2018-03-03 21:19:41.000,HEAT Classic,USD,01230000000ZUr8AAG,,,,,0,,,Heat,,,,,,,1,,,,Maintenance,Active,,,IPCMT0117,Call Center Agent MNT,,,Maintenance,,True,,01t13000005tFBOAA2,0,Maintenance,,,0,HT ITSM,,FALSE,Third Party,1,170104012030000200,1,,,,,0,01td0000001UxtoAAC,0,,,,,0,,12 Months,,,,,0,0,,0,12,1,80,,1,0,1,,1,0,0,,,0,0,,,ITSM,,HEAT,01t13000005tFBOAA2,0,,HT ITSM,1,1,0,0,1,0,HEAT,0,,,,,0,1,,1,
01t13000005tFBPAA2,FrontRange Server Management (administrative),ECACL0007,FrontRange Server Management (administrative),,,,,,,0,2017-03-27 22:56:33.000,005300000041tTTAAY,2017-07-03 23:57:14.000,005a0000007zoLxAAI,2017-07-03 23:57:14.000,Service Management,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,,,,,Active,,,ECACL0007,,,,License,,False,,01t13000005tFBPAA2,0,,,,0,HT ITSM,,FALSE,,0,,0,,,,,0,01td0000001Uy0rAAC,0,,,,,0,,12 Months,,,,,0,0,,0,12,0,,,1,0,1,,1,0,0,,,0,0,,,ITSM,,HEAT,01t13000005tFBPAA2,1,,HT ITSM,0,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYT5AAO,900-205,900-205,"4-Channel DVI-I Secure KVM Switch, Pwr Cord",,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:15.000,005a0000007zoLxAAI,2017-05-19 23:20:15.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Secure Switch,,,,Active,,,900-205,,,,,,False,01t20000000u0RnAAI,01t30000002FYT5AAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYT5AAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYT6AAO,900-207,900-207,"4-Channel DVI-I Secure KVM Switch, USB, Audio, Pwr Cord",,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:15.000,005a0000007zoLxAAI,2017-05-19 23:20:15.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,,,,,Active,,,900-207,,,,,,False,01t20000000u0RoAAI,01t30000002FYT6AAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYT6AAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
