Product_Family,similar,score,rank
application virtualization,insight,6.19999e+18,5
scupdates,itsm core,0.838705,1
scupdates,application manager,0.835712,2
scupdates,security suite,0.778723,3
scupdates,dsm,0.650762,4
scupdates,heat 2014 premise,0.559377,5
es,ldms,2.81652,1
es,environment manager,1.52344,2
es,dsm,1.30488,3
es,heat classic,0.806563,4
es,xtraction,0.751485,5
insight,heat classic,2.72301e+38,1
insight,xtraction,1.82544e+38,2
insight,ldim (inventory manager),1.24744e+38,3
insight,uem other,1.17681e+38,4
insight,heat 2014 premise,1.14867e+38,5
ldim (inventory manager),ldms,2.82804e+38,1
ldim (inventory manager),environment manager,1.87721e+38,2
ldim (inventory manager),insight,1.24744e+38,3
ldim (inventory manager),uem other,8.89121e+37,4
ldim (inventory manager),xtraction,6.1165e+37,5
mobilenow,security suite,1.33054e+19,1
mobilenow,application manager,1.2244e+19,2
mobilenow,res uem,6.74496e+18,3
mobilenow,uem other,6.66953e+18,4
mobilenow,heat classic,9.11809e+17,5
asset manager,security suite,1.00959,1
asset manager,heat 2014 premise,0.592062,2
asset manager,application manager,0.498196,3
asset manager,itsm core,0.328294,4
asset manager,res uem,0.224577,5
performance manager,environment manager,2.86356e+19,1
performance manager,ldms,2.65797e+19,2
performance manager,insight,1.37684e+19,3
performance manager,xtraction,7.97878e+18,4
performance manager,dsm,5.08671e+18,5
go,ldms,3.97365e+19,1
go,dsm,1.55494e+19,2
go,environment manager,8.52986e+18,3
go,insight,8.13066e+18,4
go,ht oem,4.08984e+18,5
server manager,ldms,1.72092e+19,1
server manager,heat classic,9.6531e+18,2
server manager,res uem,8.83633e+18,3
server manager,dsm,6.84369e+18,4
server manager,heat 2014 premise,5.27988e+18,5
file director,ldms,1.67685,1
file director,environment manager,0.75961,2
file director,insight,0.602123,3
file director,dsm,0.291848,4
file director,xtraction,0.291063,5
oem licenced royalties,ldms,5.77295e+19,1
oem licenced royalties,dsm,2.41911e+19,2
oem licenced royalties,environment manager,1.37103e+19,3
oem licenced royalties,insight,6.84351e+18,4
oem licenced royalties,xtraction,6.54801e+18,5
shavlik oem royalties,ldms,6.05681e+19,1
shavlik oem royalties,dsm,2.11188e+19,2
shavlik oem royalties,environment manager,1.16911e+19,3
shavlik oem royalties,insight,8.18657e+18,4
shavlik oem royalties,xtraction,5.91455e+18,5
ht oem,ldms,3.15807e+38,1
ht oem,dsm,1.08269e+38,2
ht oem,environment manager,5.20175e+37,3
ht oem,ldim (inventory manager),4.50745e+37,4
ht oem,insight,3.57322e+37,5
xtraction oem royalty,ldms,2.75557e+19,1
xtraction oem royalty,res uem,2.29018e+19,2
xtraction oem royalty,environment manager,2.08581e+19,3
xtraction oem royalty,insight,1.42316e+19,4
xtraction oem royalty,xtraction,9.16957e+18,5
