New_Deal_Count,Product_Family,Product_Code,Product_Name
21,Discovery,HDCCL0001,"Ivanti HEAT Discovery (Device) Perpetual License - Powered by HEAT, Volume Only"
1,Discovery,HDCSV0001,"Ivanti HEAT Discovery (Device) 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
1,Discovery,HDCSV0003,"Ivanti HEAT Discovery (Device) 3Yr Subscription - Powered by HEAT, Volume/Renewal Only"
20,Discovery,HTPCL0011,"Ivanti HEAT Discovery 2015 (P) Perpetual License - Powered by HEAT, Volume Only"
9,Discovery,ITSM-DISC-C,"Ivanti Service Manager Discovery SaaS, per Device Cloud Subscription, powered by HEAT"
11,Discovery,ITSM-DISC-L,"Ivanti Service Manager Discovery per Device Perpetual License, powered by HEAT"
23,DSM,CENCF0089,"Ivanti Frontrange DSM v7 Desktop Management Perpetual License - Powered by HEAT, Volume Only"
14,DSM,CENCF0093,"Ivanti FrontRange Server Mngmnt (SBC) Suite Perpetual License - Powered by HEAT, Volume Only"
2,DSM,CENCF0095,"Ivanti FrontRange Server Mngmnt Admin Suite Perpetual License - Powered by HEAT, Volume Only"
15,DSM,CENCF0099,HEAT Desktop Management
1,DSM,CENCF0101,HEAT Operating Systems Deployment
9,DSM,CENCF0103,"Ivanti HEAT DSM Perpetual License - Powered by HEAT, Volume Only"
38,DSM,CENCF0105,HEAT Client Management
18,DSM,CENCF0107,"Ivanti DSM v7 SBC User Perpetual License - Powered by HEAT, Volume Only"
23,DSM,CENCF0109,"Ivanti HEAT Client Management 2013 Perpetual License - Powered by HEAT, Volume Only"
14,DSM,CENCF0111,HEAT DSM 2013+
9,DSM,EDZSL0002,Frontrange DMZ Management Pack v7 Server
1,DSM,EEMSL0002,Frontrange DSM v7  Business Logic Proxy Server
5,DSM,ELGCL0008,"Ivanti Frontrange DSM v7 Personality Mig Perpetual License - Powered by HEAT, Volume Only"
13,DSM,ELGCL0011,"Ivanti Personality Migration v7 Perpetual License - Powered by HEAT, Volume Only"
2,DSM,ELGCL0012,"Ivanti DSM Personality Migration Perpetual License - Powered by HEAT, Volume Only"
28,DSM,ENICL0025,"Ivanti Frontrange DSM v7 NetInstall Perpetual License - Powered by HEAT, Volume Only"
1,DSM,ENICL0026,NetInstall License
1,DSM,ENISV0003,NetInstall Subscription
5,DSM,ENTSV0001,"Ivanti Client Management Suite 1Yr Subscription - Powered by HEAT, Renewal Only"
43,DSM,EOICL0002,"Ivanti Frontrange DSM v7 OSD Imaging Option Perpetual License - Powered by HEAT, Volume Only"
35,DSM,EOICL0003,"Ivanti OSD Imaging Option Perpetual License - Powered by HEAT, Volume Only"
3,DSM,EOICL0004,DSM OS Imaging License - Addon for DSM for OS Deployment
1,DSM,EOSCL0001,enteo OS Deployment v6
47,DSM,EOSCL0019,"Ivanti Frontrange DSM v7 OS Deployment Perpetual License - Powered by HEAT, Volume Only"
9,DSM,EOSCL0020,"Ivanti OS Deployment Perpetual License - Powered by HEAT, Volume Only"
1,DSM,EOSSV0002,OS Deployment Subscription
8,DSM,EPMCL0016,"Ivanti Frontrange DSM v7 Patch Perpetual License - Powered by HEAT, Volume Only"
47,DSM,EPMCL0017,"Ivanti Advanced Patch Management v7.2 Perpetual License - Powered by HEAT, Volume Only"
138,DSM,EPMCL0018,Advanced Patch Management 7.2 (Legacy)
